CDIP_1.5_60dir_b1000
0.0	0.0	0.0	0.0
0.049	-0.919	-0.391    1000.0
0.726	0.301	-0.618    1000.0
-0.683	0.255	-0.684   1000.0
0.845	-0.502	-0.186    1000.0
-0.730	-0.619	-0.288    1000.0
-0.051	0.039	0.998   1000.0
-0.018	0.871	-0.491    1000.0
-0.444	0.494	0.747   1000.0
-0.989	-0.086	-0.116   1000.0
-0.470	-0.855	0.221    1000.0
0.412	0.400	0.819   1000.0
-0.552	0.790	-0.267    1000.0
-0.123	-0.477	0.871    1000.0
-0.848	0.141	0.510   1000.0
-0.341	-0.788	-0.512  1000.0
0.361	-0.529	0.768   1000.0
-0.472	0.850	0.234  1000.0
-0.856	-0.481	0.189   1000.0
0.797	0.162	0.582  1000.0
0.467	-0.009	-0.884    1000.0
0.013	0.998	-0.056   1000.0
0.882	-0.387	0.267    1000.0
0.017	-0.536	-0.844    1000.0
-0.442	-0.651	0.617    1000.0
0.365	-0.058	0.929    1000.0
0.977	-0.004	-0.213   1000.0
-0.406	-0.902	-0.145    1000.0
-0.627	0.614	0.479   1000.0
-0.354	0.772	-0.528    1000.0
-0.658	-0.472	-0.586    1000.0
0.423	0.322	-0.847    1000.0
0.212	-0.754	-0.622    1000.0
0.912	-0.104	0.398    1000.0
-0.311	0.947	-0.077    1000.0
0.679	0.632	-0.374    1000.0
0.135	-0.286	0.949    1000.0
-0.647	0.230	0.727    1000.0
0.904	0.397	0.158    1000.0
-0.757	0.647	-0.087    1000.0
0.143	0.284	0.948    1000.0
0.233	0.894	-0.382    1000.0
0.664	-0.531	0.527   1000.0
0.157	0.710	0.686    1000.0
-0.895	-0.214	0.392    1000.0
0.594	0.080	0.801    1000.0
-0.006	0.688	-0.726    1000.0
0.665	0.746	0.024    1000.0
-0.277	0.276	0.920    1000.0
-0.962	0.268	0.046    1000.0
-0.133	-0.970	-0.202    1000.0
0.790	-0.405	-0.461    1000.0
-0.194	-0.193	0.962  1000.0
-0.236	0.952	0.195  1000.0
-0.884	-0.272	-0.379    1000.0
0.463	-0.307	0.831    1000.0
0.700	0.066	-0.711    1000.0
-0.200	0.928	-0.314    1000.0
0.550	0.705	0.449	1000.0
-0.670	0.727	0.153  1000.0
