CDIP_1.5_30dir_b1000
0.0	0.0	0.0	0.0
0.049	-0.919	-0.391    1000.0
0.726	0.301	-0.618    1000.0
-0.683	0.255	-0.684   1000.0
0.845	-0.502	-0.186    1000.0
-0.730	-0.619	-0.288    1000.0
-0.051	0.039	0.998   1000.0
-0.018	0.871	-0.491    1000.0
-0.444	0.494	0.747   1000.0
-0.989	-0.086	-0.116   1000.0
-0.470	-0.855	0.221    1000.0
0.412	0.400	0.819   1000.0
-0.552	0.790	-0.267    1000.0
-0.123	-0.477	0.871    1000.0
-0.848	0.141	0.510   1000.0
-0.341	-0.788	-0.512  1000.0
0.361	-0.529	0.768   1000.0
-0.472	0.850	0.234  1000.0
-0.856	-0.481	0.189   1000.0
0.797	0.162	0.582  1000.0
0.467	-0.009	-0.884    1000.0
0.013	0.998	-0.056   1000.0
0.882	-0.387	0.267    1000.0
0.017	-0.536	-0.844    1000.0
-0.442	-0.651	0.617    1000.0
0.365	-0.058	0.929    1000.0
0.977	-0.004	-0.213   1000.0
-0.406	-0.902	-0.145    1000.0
-0.627	0.614	0.479   1000.0
-0.354	0.772	-0.528    1000.0
-0.658	-0.472	-0.586    1000.0
